DRN - Dropout_Rates: [0.08819526, 0.100279726] 
DRN - Dropout_Rates: [0.08722199, 0.100323096] 
DRN - Dropout_Rates: [0.08973159, 0.10391677] 
DRN - Dropout_Rates: [0.08195975, 0.10393938] 
BQN - Dropout_Rates: [0.08663934, 0.1028645] 
BQN - Dropout_Rates: [0.08535008, 0.10389501] 
BQN - Dropout_Rates: [0.083811074, 0.1011384] 
BQN - Dropout_Rates: [0.08799576, 0.10351479] 
DRN - Dropout_Rates: [0.08997195, 0.100067824] 
DRN - Dropout_Rates: [0.09429842, 0.10090943] 
DRN - Dropout_Rates: [0.09194866, 0.103701435] 
DRN - Dropout_Rates: [0.08752906, 0.09775367] 
BQN - Dropout_Rates: [0.0883871, 0.10259755] 
BQN - Dropout_Rates: [0.09066043, 0.10676413] 
BQN - Dropout_Rates: [0.0816752, 0.10452344] 
BQN - Dropout_Rates: [0.08485295, 0.1019892] 
DRN - Dropout_Rates: [0.08952468, 0.099480964] 
DRN - Dropout_Rates: [0.07332305, 0.09647763] 
DRN - Dropout_Rates: [0.08998364, 0.10475056] 
DRN - Dropout_Rates: [0.09078215, 0.09948732] 
BQN - Dropout_Rates: [0.085856214, 0.10390501] 
BQN - Dropout_Rates: [0.08360721, 0.10262942] 
BQN - Dropout_Rates: [0.0800258, 0.10051176] 
BQN - Dropout_Rates: [0.08096919, 0.101849064] 
DRN - Dropout_Rates: [0.08705139, 0.09849278] 
DRN - Dropout_Rates: [0.092044815, 0.10203182] 
DRN - Dropout_Rates: [0.08717291, 0.10228248] 
DRN - Dropout_Rates: [0.09259838, 0.09980249] 
BQN - Dropout_Rates: [0.08804533, 0.10052466] 
BQN - Dropout_Rates: [0.08364329, 0.103535004] 
BQN - Dropout_Rates: [0.08668932, 0.102356434] 
BQN - Dropout_Rates: [0.09106929, 0.103389464] 
DRN - Dropout_Rates: [0.08573177, 0.10486697] 
DRN - Dropout_Rates: [0.083903246, 0.09909833] 
DRN - Dropout_Rates: [0.088452935, 0.104670994] 
DRN - Dropout_Rates: [0.09588248, 0.10135405] 
BQN - Dropout_Rates: [0.09087999, 0.10368431] 
BQN - Dropout_Rates: [0.08361447, 0.10293164] 
BQN - Dropout_Rates: [0.081419185, 0.10459427] 
BQN - Dropout_Rates: [0.08542952, 0.09947844] 
